DATE,housePriceIndex,TotalConstruction,TotalPrivateConstruction,TotalPublicConstruction,averageIncome,consumerPriceIndex,grossValueAdded,dwellingsAuthorizedPermit,dwellingsCompletedPermit,dwellingsInProgressPermit,dwellingsStarted,dwellingsStartedPermit, Population per Square KM,consumerConfidenceIndex,grossDisposableHouseholdIncome,unemploymentRate,Homeownership(in %),interestRatesinUS,mortgageRatesinUS,Annual % Change in Population Density
1987-12-31,66.25325000000002,276595.04461279477,199890.53198653203,76704.75673400678,56261.0,3.664563218,4891806506929.0,18496.0,19292.0,12215.0,19566.0,18785.0,24.9252443,100.5231333333333,15740.71345,6.175000000000002,63.975,5.6625000000000005,10.213396226415098,0.94
1988-12-31,71.13391666666669,311223.43995510676,226206.8877665545,85016.7833894501,56725.0,4.077741107,5314835044466.0,17425.0,17684.0,11296.0,17854.0,17261.0,25.1611669,100.92143333333333,16957.7758,5.491666666666666,63.8,6.197500000000002,10.341730769230765,0.95
1989-12-31,75.50316666666667,345851.83529741876,252523.24354657694,93328.81004489341,57705.0,4.82700303,5645048319765.0,16204.0,16585.0,10506.0,16585.0,15854.0,25.4005544,100.77005,18041.50001,5.258333333333333,63.89999999999999,6.924166666666667,10.319423076923076,0.95
1990-12-31,76.93574999999998,380480.23063973075,278839.5993265994,101640.83670033673,56966.0,5.39795644,5957893411770.0,13484.0,15120.0,9419.0,14438.0,13717.0,25.6441085,99.31342083333332,19018.80265,5.616666666666666,63.95,6.982500000000001,10.129423076923075,0.96
1991-12-31,75.92266666666667,415108.62598204275,305155.95510662184,109952.86335578005,55302.0,4.234963965,6171960769791.0,11348.0,12428.0,7386.0,12105.0,11365.0,25.8901603,98.7875625,19555.4427,6.849999999999999,64.05,5.447500000000002,9.246538461538462,0.96
1992-12-31,76.33024999999998,449737.02132435475,331472.3108866443,118264.89001122337,54874.0,3.028819678,6496629979236.0,13176.0,12873.0,7107.0,14417.0,13386.0,26.139485500000006,98.73521166666669,20624.05161,7.491666666666667,64.15,3.2516666666666665,8.39018867924528,0.96
1993-12-31,77.41558333333333,484365.41666666674,357788.66666666674,126576.91666666669,54581.0,2.9516569660000003,6814639370500.0,14487.0,13286.0,7305.0,15499.0,14440.0,26.3979927,99.5069925,21234.08765,6.908333333333332,64.475,3.0,7.314615384615383,0.99
1994-12-31,79.4705,530980.25,401086.83333333326,129893.5,55215.0,2.607441592,7243228365108.0,16403.0,15156.0,8378.0,17352.0,16282.0,26.6735421,100.71501666666666,22008.92886,6.1000000000000005,63.975,3.595833333333333,8.380769230769234,1.04
1995-12-31,80.99466666666667,548261.9166666665,409037.91666666674,139224.25,56945.0,2.805419689,7636976245401.0,16030.0,15120.0,8811.0,16332.0,15798.0,26.97080560000001,100.70230833333332,22882.92053,5.591666666666668,64.75,5.208333333333333,7.934615384615384,1.11
1996-12-31,82.81083333333333,598208.5833333335,451612.83333333326,146596.08333333337,57772.0,2.9312042000000003,8051630737598.0,17029.0,16352.0,9412.0,17624.0,17100.0,27.2933662,100.90205833333334,23758.40726,5.408333333333334,65.375,5.0200000000000005,7.806153846153843,1.2
