TIME,Value
1960-01,101.7008
1960-02,101.413
1960-03,101.1644
1960-04,101.0273
1960-05,101.0619
1960-06,101.1599
1960-07,101.1806
1960-08,101.0241
1960-09,100.7814
1960-10,100.5799
1960-11,100.5145
1960-12,100.5381
1961-01,100.5923
1961-02,100.6501
1961-03,100.727
1961-04,100.863
1961-05,101.0849
1961-06,101.3102
1961-07,101.4184
1961-08,101.3197
1961-09,101.1406
1961-10,101.0507
1961-11,101.1702
1961-12,101.3876
1962-01,101.5427
1962-02,101.5123
1962-03,101.3568
1962-04,101.1543
1962-05,100.9577
1962-06,100.801
1962-07,100.7283
1962-08,100.7844
1962-09,100.921
1962-10,101.0893
1962-11,101.2528
1962-12,101.3677
1963-01,101.3688
1963-02,101.2037
1963-03,100.9805
1963-04,100.8395
1963-05,100.8824
1963-06,101.0195
1963-07,101.133
1963-08,101.1459
1963-09,101.1146
1963-10,101.1283
1963-11,101.2525
1963-12,101.4277
1964-01,101.5689
1964-02,101.6142
1964-03,101.6065
1964-04,101.6052
1964-05,101.6496
1964-06,101.7164
1964-07,101.7676
1964-08,101.7752
1964-09,101.763
1964-10,101.7672
1964-11,101.8189
1964-12,101.9085
1965-01,102.0263
1965-02,102.1654
1965-03,102.2951
1965-04,102.3718
1965-05,102.3579
1965-06,102.294
1965-07,102.2254
1965-08,102.1786
1965-09,102.1416
1965-10,102.0889
1965-11,101.997
1965-12,101.8746
1966-01,101.7277
1966-02,101.555
1966-03,101.3672
1966-04,101.1715
1966-05,100.9709
1966-06,100.7709
1966-07,100.5833
1966-08,100.4285
1966-09,100.3259
1966-10,100.3219
1966-11,100.4649
1966-12,100.6824
1967-01,100.8919
1967-02,101.0384
1967-03,101.1387
1967-04,101.2138
1967-05,101.2679
1967-06,101.2918
1967-07,101.2576
1967-08,101.1423
1967-09,101.0109
1967-10,100.9512
1967-11,101.0264
1967-12,101.1538
1968-01,101.2196
1968-02,101.1386
1968-03,100.978
1968-04,100.8276
1968-05,100.7496
1968-06,100.719
1968-07,100.7016
1968-08,100.6842
1968-09,100.6922
1968-10,100.7765
1968-11,100.9747
1968-12,101.1957
1969-01,101.3072
1969-02,101.1992
1969-03,100.9576
1969-04,100.6785
1969-05,100.4161
1969-06,100.1679
1969-07,99.91338
1969-08,99.63889
1969-09,99.36825
1969-10,99.14365
