TIME,Value
1974,5748.87099
1975,6341.296758
1976,6840.435104
1977,7442.221745
1978,8217.869536
1979,9026.175855
1980,9945.435203
1981,10948.40553
1982,11655.91278
1983,12395.47289
1984,13563.23938
1985,14291.95993
1986,15026.05218
1987,15740.71345
1988,16957.7758
1989,18041.50001
1990,19018.80265
1991,19555.4427
1992,20624.05161
1993,21234.08765
1994,22008.92886
1995,22882.92053
1996,23758.40726
1997,24715.92829
1998,26049.71122
1999,27068.23986
2000,28790.60665
2001,29947.83231
2002,31110.54161
2003,32335.87534
2004,33954.94024
2005,35225.32173
2006,37235.51222
2007,38658.08858
2008,39899.33583
2009,39550.28073
2010,40623.15005
2011,42180.82853
2012,43955.72749
2013,43929.16619
2014,45972.36051
2015,47531.84277
2016,48570.48378
2017,50473.54832
2018,53201.92308
