"Country or Area","Year","Item","Value"
"United States","2019","Agriculture, hunting, forestry, fishing (ISIC A-B)","175400000000"
"United States","2019","Mining, Manufacturing, Utilities (ISIC C-E)","3053100000000"
"United States","2019","Manufacturing (ISIC D)","2345800000000"
"United States","2019","Construction (ISIC F)","892700000000"
"United States","2019","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","3093100000000"
"United States","2019","Transport, storage and communication (ISIC I)","2263400000000"
"United States","2019","Other Activities (ISIC J-P)","11955900000000"
"United States","2019","Total Value Added","21433600000000"
"United States","2018","Agriculture, hunting, forestry, fishing (ISIC A-B)","178600000000"
"United States","2018","Mining, Manufacturing, Utilities (ISIC C-E)","3026500000000"
"United States","2018","Manufacturing (ISIC D)","2314400000000"
"United States","2018","Construction (ISIC F)","848200000000"
"United States","2018","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2964700000000"
"United States","2018","Transport, storage and communication (ISIC I)","2124400000000"
"United States","2018","Other Activities (ISIC J-P)","11469400000000"
"United States","2018","Total Value Added","20611800000000"
"United States","2017","Agriculture, hunting, forestry, fishing (ISIC A-B)","176600000000"
"United States","2017","Mining, Manufacturing, Utilities (ISIC C-E)","2820100000000"
"United States","2017","Manufacturing (ISIC D)","2182400000000"
"United States","2017","Construction (ISIC F)","797800000000"
"United States","2017","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2855100000000"
"United States","2017","Transport, storage and communication (ISIC I)","1999400000000"
"United States","2017","Other Activities (ISIC J-P)","10894100000001"
"United States","2017","Total Value Added","19543100000000"
"United States","2016","Agriculture, hunting, forestry, fishing (ISIC A-B)","166600000000"
"United States","2016","Mining, Manufacturing, Utilities (ISIC C-E)","2667300000000"
"United States","2016","Manufacturing (ISIC D)","2099700000000"
"United States","2016","Construction (ISIC F)","746900000000"
"United States","2016","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2767700000000"
"United States","2016","Transport, storage and communication (ISIC I)","1914100000000"
"United States","2016","Other Activities (ISIC J-P)","10482500000000"
"United States","2016","Total Value Added","18745100000000"
"United States","2015","Agriculture, hunting, forestry, fishing (ISIC A-B)","182300000000"
"United States","2015","Mining, Manufacturing, Utilities (ISIC C-E)","2738500000000"
"United States","2015","Manufacturing (ISIC D)","2129600000000"
"United States","2015","Construction (ISIC F)","694900000000"
"United States","2015","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2716300000000"
"United States","2015","Transport, storage and communication (ISIC I)","1815100000000"
"United States","2015","Other Activities (ISIC J-P)","10091300000000"
"United States","2015","Total Value Added","18238400000000"
"United States","2014","Agriculture, hunting, forestry, fishing (ISIC A-B)","201000000000"
"United States","2014","Mining, Manufacturing, Utilities (ISIC C-E)","2810900000000"
"United States","2014","Manufacturing (ISIC D)","2050200000000"
"United States","2014","Construction (ISIC F)","636900000000"
"United States","2014","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2564900000000"
"United States","2014","Transport, storage and communication (ISIC I)","1679100000000"
"United States","2014","Other Activities (ISIC J-P)","9634300000000"
"United States","2014","Total Value Added","17527100000000"
"United States","2013","Agriculture, hunting, forestry, fishing (ISIC A-B)","215600000000"
"United States","2013","Mining, Manufacturing, Utilities (ISIC C-E)","2707900000000"
"United States","2013","Manufacturing (ISIC D)","1991900000000"
"United States","2013","Construction (ISIC F)","587600000000"
"United States","2013","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2463500000000"
"United States","2013","Transport, storage and communication (ISIC I)","1620300000000"
"United States","2013","Other Activities (ISIC J-P)","9190100000000"
"United States","2013","Total Value Added","16785000000000"
"United States","2012","Agriculture, hunting, forestry, fishing (ISIC A-B)","179600000000"
"United States","2012","Mining, Manufacturing, Utilities (ISIC C-E)","2608300000000"
"United States","2012","Manufacturing (ISIC D)","1927100000000"
"United States","2012","Construction (ISIC F)","553400000000"
"United States","2012","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2355900000000"
"United States","2012","Transport, storage and communication (ISIC I)","1533500000000"
"United States","2012","Other Activities (ISIC J-P)","8966499999999"
"United States","2012","Total Value Added","16197200000000"
"United States","2011","Agriculture, hunting, forestry, fishing (ISIC A-B)","180900000000"
"United States","2011","Mining, Manufacturing, Utilities (ISIC C-E)","2553800000000"
"United States","2011","Manufacturing (ISIC D)","1867600000000"
"United States","2011","Construction (ISIC F)","524400000000"
"United States","2011","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2229400000000"
"United States","2011","Transport, storage and communication (ISIC I)","1488200000000"
"United States","2011","Other Activities (ISIC J-P)","8565700000000"
"United States","2011","Total Value Added","15542400000000"
"United States","2010","Agriculture, hunting, forestry, fishing (ISIC A-B)","146300000000"
"United States","2010","Mining, Manufacturing, Utilities (ISIC C-E)","2429400000000"
"United States","2010","Manufacturing (ISIC D)","1797000000000"
"United States","2010","Construction (ISIC F)","525100000000"
"United States","2010","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2143900000000"
"United States","2010","Transport, storage and communication (ISIC I)","1446600000000"
"United States","2010","Other Activities (ISIC J-P)","8300600000000"
"United States","2010","Total Value Added","14991900000000"
